Model,Accuracy,Precision,Sensitivity,Specificity,F1 Score,ROC,Log_Loss
Stacked Classifier,0.8040071923966093,0.860431654676259,0.8644741597397904,0.655417406749556,0.8624481701820804,0.7599457832446732,7.064296824016539
LR,0.8100008562376916,0.8764545679623669,0.8529092880375858,0.7045589105979869,0.8645216435679834,0.7787340993177864,6.848263281997685
NB,0.8101721037760082,0.8769516728624536,0.8525478857968919,0.7060390763765542,0.864577606743632,0.7792934810867229,6.84209089508286
DT,0.8016097268601764,0.8450980392156863,0.8826647391880497,0.6024274718768502,0.8634729833244947,0.7425461055324499,7.15071024082408
RF,0.8052059251648258,0.8632746563781046,0.8625466811227563,0.6642984014209592,0.8629105152154264,0.7634225412718578,7.021090115612767
Adaboost,0.8101721037760082,0.8769516728624536,0.8525478857968919,0.7060390763765542,0.864577606743632,0.7792934810867229,6.84209089508286
ET,0.7994691326312184,0.8626902008520998,0.8537525599325383,0.6660746003552398,0.8581981109227416,0.759913580143889,7.227865077259387
SGD,0.8101721037760082,0.8769516728624536,0.8525478857968919,0.7060390763765542,0.864577606743632,0.7792934810867229,6.84209089508286
MLP,0.8038359448582927,0.8525340215861098,0.8754366943741718,0.627886323268206,0.8638335809806835,0.751661508821189,7.070469210931364
